№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;7070773-1;51064137-ОИ3;;"ТОО ""Казстройсистема""";Товар;Диспенсер;для воды, напольный, без холодильника;1;Штука;40 000.00;40 000.00;2022-03-04 15:08:40;2022-03-09 15:08:40;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
2;7064980-1;51750592-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по проведению аудита/сертификации систем менеджмента;услуги по сертификации системы менеджмента качества, системы экологического менеджмента, менеджмента безопасности труда и охраны здоровья на соответствия требованиям CT PK ISO 9001-2016, 14001-2016, 45001-2019;1;Одна услуга;375 000.00;375 000.00;2022-03-04 18:47:29;2022-03-14 18:47:33;Запрос ценовых предложений;Закупка состоялась
3;7064940-1;51767493-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Пломбир;"Пломбир под пластилин. Металлическая печать для получения оттисков на пластилине, гравировка из латуни диаметр 27 мм (длина текста по согласованию с Заказчиком) с кольцом по согласованию с Заказчиком""";6;Штука;3 000.00;18 000.00;2022-03-04 18:42:41;2022-03-14 18:42:44;Запрос ценовых предложений;Закупка состоялась
4;7064940-1;51768027-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Устройство опечатывающее;"Опечатывающие устройство ""Чашка флажок"" применяется совместно с пломбиром (металлической печатью) диаметром 27 мм и предназначены для контроля от вскрытия помещений и сейфов. Именно в них наносится пластилин (мастика) и с помощью пломбира ставится опечатывающая печать. Материал : Латунь. Внешний диаметр 34мм. Внутренний диаметр: 29 мм. Рабочая длина флажка 35/40мм. Ширина флажка 6мм.";6;Штука;3 500.00;21 000.00;2022-03-04 18:42:41;2022-03-14 18:42:44;Запрос ценовых предложений;Закупка состоялась
5;7064866-1;50262243-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Стеллаж;металлический, высота более 80 см;6;Штука;44 516.00;267 096.00;2022-03-04 18:39:08;2022-03-14 18:39:12;Запрос ценовых предложений;Закупка не состоялась
6;7064795-1;51766844-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Гигрометр;Прибор для измерения влажности воздуха помещения;4;Штука;3 571.42;14 285.68;2022-03-04 18:34:51;2022-03-14 18:34:52;Запрос ценовых предложений;Закупка не состоялась
7;7064646-1;51766285-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Огнетушитель;порошковый Огнетушитель;1;Штука;5 000.00;5 000.00;2022-03-04 18:23:54;2022-03-14 18:23:57;Запрос ценовых предложений;Закупка состоялась
8;7064438-1;51770674-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;KVM-переключатель;KVM-переключатель;10;Штука;12 000.00;120 000.00;2022-03-04 18:17:22;2022-03-14 18:17:25;Запрос ценовых предложений;Закупка состоялась
9;7064356-1;51770973-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Фильтр;сетевой фильтр с предохранителем, 6 розеток;15;Штука;2 410.71;36 160.65;2022-03-04 18:06:35;2022-03-14 18:06:39;Запрос ценовых предложений;Закупка не состоялась
10;7002006-1;51619397-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"СТ РК ISO 45001-2019 ""Системы менеджмента безопасности труда и охраны здоровья"". Внутренний аудит интегрированной системы";1;Одна услуга;45 000.00;45 000.00;2022-02-28 09:56:21;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
11;7002006-1;51619235-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"СТ РК ISO 14001-2016 ""Системы экологического менеджмента"". Внутренний аудит интегрированной системы";1;Одна услуга;45 000.00;45 000.00;2022-02-28 09:56:21;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
12;7002006-1;51619170-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"СТ РК ISO 9001-2016 ""Системы менеджмента качества"". Внутренний аудит интегрированной системы";1;Одна услуга;45 000.00;45 000.00;2022-02-28 09:56:21;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
13;7001914-1;48952093-ЗЦП3;;"ТОО ""Казстройсистема""";Работа;Работы по разработке/корректировке/рассчету/составлению проектно-сметной документации;разработка проектно-сметной документации объекта «Реконструкция гаража (литер Б), расположенного по адресу: г.Нур-Султан, район Сарыарка, ул.Бейбітшілік, здание 61А» (наружные инжинерные сети);1;Работа;357 145.00;357 145.00;2022-02-28 09:46:35;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
14;7001585-1;51617913-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по уничтожению печати;услуги по уничтожению печатей;1;Одна услуга;55 800.00;55 800.00;2022-02-28 09:26:13;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
15;7001247-1;51617830-ЗЦП1;;"ТОО ""Казстройсистема""";Работа;Работы по изготовлению печатных форм/печатей/трафаретов;работы по изготовлению штампов с соответствующими надписями по середине и краям;1;Работа;26 778.00;26 778.00;2022-02-28 09:14:15;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
16;6999659-1;50229840-ЗЦП2;;"ТОО ""Казстройсистема""";Услуга;Услуги по поверке средств измерений;услуги по проверке оборудование и приборов;1;Одна услуга;1 000 000.00;1 000 000.00;2022-02-25 18:55:34;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
17;6999609-1;50216315-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по диагностированию/экспертизе/анализу/испытаниям/тестированию/осмотру;услуги испытательной лаборатории строительных материалов, изделий и конструкций;1;Одна услуга;300 000.00;300 000.00;2022-02-25 18:50:50;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
18;6948015-1;48952093-ОИ2;;"ТОО ""Казстройсистема""";Работа;Работы по разработке/корректировке/рассчету/составлению проектно-сметной документации;разработка проектно-сметной документации объекта «Реконструкция гаража (литер Б), расположенного по адресу: г.Нур-Султан, район Сарыарка, ул.Бейбітшілік, здание 61А» (наружные инжинерные сети);1;Работа;357 145.00;357 145.00;2022-02-18 19:00:12;2022-02-23 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
