ID договора;ID Объявления;Номер объявления;Статус плана;Способ закупки;ИД Поставщика;БИН/ИИН Поставщика;Наименование подтверждающего документа;Дата подтверждающего документа;Дата подведения итогов госзакупок;ИД заказчика ТРУ;БИН заказчика ТРУ;Номер договора в системе;Финансовый год;Форма заключения договора;Тип закупки;Код валюты договора;Сумма заключенного договора без НДС;Сумма заключенного договора с НДС;Дата заключения договора;Общая фактическая сумма договора;Тип договора;Описание на казахском языке;Описание на русском языке;Юридический адрес заказчика;Номер лота;Наименование на русском языке;Наименование на государственном языке;Детальное описание на русском языке;Детальное описание на государственном языке;ИД пункта плана;Номер акта;Код способа закупки(плановый);Код единицы измерения;Количество / объем;Цена за единицу;Общая сумма, утвержденная для закупки;Краткая характеристика на русском языке;Краткая характеристика на казахском языке;Дополнительное описание на русском языке;Дополнительное описание на казахском языке;ID КАТО;Полный адрес поставки на русском языке;Полный адрес поставки на казахском языке
15041998;7349537;7349537-1;Закупка состоялась;Запрос ценовых предложений;304524;801007303499;Итоговый протокол о проведении государственных закупок;2022-04-18 10:51:23;2022-04-18 10:51:23;25667;970540001343;970540001343/220054/00;2022;1;Однолетний;KZT;3232344;3620225.28;;0;1;;;г.Нур-Султан, Жилой массив ОНДИРИС , Улица ОНДИРИС, 12;52231033-ЗЦП1;Генератор;Генератор;для специальной и специализированной техники;арнайы және мамандандырылған техника үшін;52231033;75;3;796;1;62500;62500;для специальной и специализированной техники;арнайы және мамандандырылған техника үшін;Генератор В-140;В-140 генераторы;711410000;г.Нур-Султан, район Байқоңыр г. Нур-Султан, район Байконыр, жилой массив Өндіріс, улица Өндіріс, здание 12, 26 ДЭУ;Нұр-Сұлтан қ., Байқоңыр ауданы Нұр-Сұлтан қаласы, Байқоныр ауданы, Өндіріс тұрғын үй алабы, Өндіріс көшесі, 12 ғимарат, 26 ЖПУ
15041998;7349537;7349537-1;Закупка состоялась;Запрос ценовых предложений;304524;801007303499;Итоговый протокол о проведении государственных закупок;2022-04-18 10:51:23;2022-04-18 10:51:23;25667;970540001343;970540001343/220054/00;2022;1;Однолетний;KZT;3232344;3620225.28;;0;1;;;г.Нур-Султан, Жилой массив ОНДИРИС , Улица ОНДИРИС, 12;52233190-ЗЦП1;Ремень привода генератора;Генератор жетегінің белдігі;для специального и специализированного автомобиля;арнайы және мамандандырылған автомобиль үшін;52233190;75;3;796;10;2232.14;22321.4;для специального и специализированного автомобиля;арнайы және мамандандырылған автомобиль үшін;Ремень генератор В-140 (8,5*8*850);В-140 генератор белдігі (8,5*8*850);711410000;г.Нур-Султан, район Байқоңыр  г. Нур-Султан, район Байконыр, жилой массив Өндіріс, улица Өндіріс, здание 12, 26 ДЭУ;Нұр-Сұлтан қ., Байқоңыр ауданы Нұр-Сұлтан қаласы, Байқоныр ауданы, Өндіріс тұрғын үй алабы, Өндіріс көшесі, 12 ғимарат, 26 ЖПУ
15041998;7349537;7349537-1;Закупка состоялась;Запрос ценовых предложений;304524;801007303499;Итоговый протокол о проведении государственных закупок;2022-04-18 10:51:23;2022-04-18 10:51:23;25667;970540001343;970540001343/220054/00;2022;1;Однолетний;KZT;3232344;3620225.28;;0;1;;;г.Нур-Султан, Жилой массив ОНДИРИС , Улица ОНДИРИС, 12;52233428-ЗЦП1;Ремень водяного насоса;Су сорғысының белдігі;для грузового автомобиля;жүк автомобилі үшін;52233428;75;3;796;10;3125;31250;для грузового автомобиля;жүк автомобилі үшін;Ремень водяного насоса В-140 (11*10*1037);В-140 су сорғысы белдігі (11*10*1037);711410000;г.Нур-Султан, район Байқоңыр  г. Нур-Султан, район Байконыр, жилой массив Өндіріс, улица Өндіріс, здание 12, 26 ДЭУ;Нұр-Сұлтан қ., Байқоңыр ауданы Нұр-Сұлтан қаласы, Байқоныр ауданы, Өндіріс тұрғын үй алабы, Өндіріс көшесі, 12 ғимарат, 26 ЖПУ
15041998;7349537;7349537-1;Закупка состоялась;Запрос ценовых предложений;304524;801007303499;Итоговый протокол о проведении государственных закупок;2022-04-18 10:51:23;2022-04-18 10:51:23;25667;970540001343;970540001343/220054/00;2022;1;Однолетний;KZT;3232344;3620225.28;;0;1;;;г.Нур-Султан, Жилой массив ОНДИРИС , Улица ОНДИРИС, 12;52232536-ЗЦП1;Шина;Шина;для погрузчика, диагональная, диаметр обода 25;тиегішке арналған, диагональды, тоғын диаметрі 25;52232536;75;3;796;4;312500;1250000;для погрузчика, диагональная, диаметр обода 25;тиегішке арналған, диагональды, тоғын диаметрі 25;Автошины 20.5-25 Погрузчик В-140;Автошиналар 20.5-25 Тиегіш В-140;711410000;г.Нур-Султан, район Байқоңыр  г. Нур-Султан, район Байконыр, жилой массив Өндіріс, улица Өндіріс, здание 12, 26 ДЭУ;Нұр-Сұлтан қ., Байқоңыр ауданы Нұр-Сұлтан қаласы, Байқоныр ауданы, Өндіріс тұрғын үй алабы, Өндіріс көшесі, 12 ғимарат, 26 ЖПУ
15041998;7349537;7349537-1;Закупка состоялась;Запрос ценовых предложений;304524;801007303499;Итоговый протокол о проведении государственных закупок;2022-04-18 10:51:23;2022-04-18 10:51:23;25667;970540001343;970540001343/220054/00;2022;1;Однолетний;KZT;3232344;3620225.28;;0;1;;;г.Нур-Султан, Жилой массив ОНДИРИС , Улица ОНДИРИС, 12;52229411-ЗЦП1;Насос водяной (жидкостный);Су сорғысы (сұйық);для грузового автомобиля;жүк автомобилі үшін;52229411;75;3;796;1;58035.71;58035.71;для грузового автомобиля;жүк автомобилі үшін;Насос водяной ЯМЗ;ЯМЗ су сорғысы;711410000;г.Нур-Султан, район Байқоңыр г. Нур-Султан, район Байконыр, жилой массив Өндіріс, улица Өндіріс, здание 12, 26 ДЭУ;Нұр-Сұлтан қ., Байқоңыр ауданы Нұр-Сұлтан қаласы, Байқоныр ауданы, Өндіріс тұрғын үй алабы, Өндіріс көшесі, 12 ғимарат, 26 ЖПУ
15041998;7349537;7349537-1;Закупка состоялась;Запрос ценовых предложений;304524;801007303499;Итоговый протокол о проведении государственных закупок;2022-04-18 10:51:23;2022-04-18 10:51:23;25667;970540001343;970540001343/220054/00;2022;1;Однолетний;KZT;3232344;3620225.28;;0;1;;;г.Нур-Султан, Жилой массив ОНДИРИС , Улица ОНДИРИС, 12;52233316-ЗЦП1;Ремень привода компрессора;Компрессор жетегінің белдігі;для автобуса;автобусқа арналған;52233316;75;3;796;10;2678.57;26785.7;для автобуса;автобусқа арналған;Ремень компрессора В-140 (14*10*937);В-140 компрессор белдігі (14*10*937);711410000;г.Нур-Султан, район Байқоңыр г. Нур-Султан, район Байконыр, жилой массив Өндіріс, улица Өндіріс, здание 12, 26 ДЭУ;Нұр-Сұлтан қ., Байқоңыр ауданы Нұр-Сұлтан қаласы, Байқоныр ауданы, Өндіріс тұрғын үй алабы, Өндіріс көшесі, 12 ғимарат, 26 ЖПУ
15041998;7349537;7349537-1;Закупка состоялась;Запрос ценовых предложений;304524;801007303499;Итоговый протокол о проведении государственных закупок;2022-04-18 10:51:23;2022-04-18 10:51:23;25667;970540001343;970540001343/220054/00;2022;1;Однолетний;KZT;3232344;3620225.28;;0;1;;;г.Нур-Султан, Жилой массив ОНДИРИС , Улица ОНДИРИС, 12;52231655-ЗЦП1;Компрессор;Компрессор;для тормозной системы грузового автомобиля;жүк автомобилінің тежегіш жүйесі үшін;52231655;75;3;796;1;89285.71;89285.71;для тормозной системы грузового автомобиля;жүк автомобилінің тежегіш жүйесі үшін;Компрессор В-140;Компрессор В-140;711410000;г.Нур-Султан, район Байқоңыр г. Нур-Султан, район Байконыр, жилой массив Өндіріс, улица Өндіріс, здание 12, 26 ДЭУ;Нұр-Сұлтан қ., Байқоңыр ауданы Нұр-Сұлтан қаласы, Байқоныр ауданы, Өндіріс тұрғын үй алабы, Өндіріс көшесі, 12 ғимарат, 26 ЖПУ
15041612;7346024;7346024-1;Закупка состоялась;Запрос ценовых предложений;28134;141140022351;Итоговый протокол о проведении государственных закупок;2022-04-18 09:27:42;2022-04-18 09:27:42;16342;820940000022;820940000022/220051/00;2022;1;Однолетний;KZT;68000;76160;2022-04-20 13:06:39;0;1;Арнайы кабель;Кабель специализированный;г.Нур-Султан, Жилой массив ПРОМЫШЛЕННЫЙ , Улица ШАЛКОДЕ, 5;52386452-ЗЦП1;"Манипулятор ""мышь""";"""тінтуір"" манипуляторы";механическая, проводная;механикалық, сымды;52386452;24;3;796;10;3000;30000;механическая, проводная;механикалық, сымды;Мышь проводная;"""тінтуір"" манипуляторы";711110000;г.Нур-Султан, район Алматы ул. Шалкоде, 5;Нұр-Сұлтан қ., Алматы ауданы ул. Шалкоде, 5
15041612;7346024;7346024-1;Закупка состоялась;Запрос ценовых предложений;28134;141140022351;Итоговый протокол о проведении государственных закупок;2022-04-18 09:27:42;2022-04-18 09:27:42;16342;820940000022;820940000022/220051/00;2022;1;Однолетний;KZT;68000;76160;2022-04-20 13:06:39;0;1;Арнайы кабель;Кабель специализированный;г.Нур-Султан, Жилой массив ПРОМЫШЛЕННЫЙ , Улица ШАЛКОДЕ, 5;52386603-ЗЦП1;Коннектор;Коннектор;компьютерный;компьютерлік;52386603;24;3;796;100;200;20000;компьютерный;компьютерлік;Коннектор компьютерный;Компьютерлік коннектор;711110000;г.Нур-Султан, район Алматы ул. Шалкоде, 5;Нұр-Сұлтан қ., Алматы ауданы ул. Шалкоде, 5
15041612;7346024;7346024-1;Закупка состоялась;Запрос ценовых предложений;28134;141140022351;Итоговый протокол о проведении государственных закупок;2022-04-18 09:27:42;2022-04-18 09:27:42;16342;820940000022;820940000022/220051/00;2022;1;Однолетний;KZT;68000;76160;2022-04-20 13:06:39;0;1;Арнайы кабель;Кабель специализированный;г.Нур-Султан, Жилой массив ПРОМЫШЛЕННЫЙ , Улица ШАЛКОДЕ, 5;52388947-ЗЦП1;Шнур оптический (патч корд);Оптикалық баусым (патч корд);соединительный, тип SC-SC, одномодовое/многомодовое волокно;жалғастырғыш, типі SC-SC, бір модалы/көп модалы талшық;52388947;24;3;006;200;2000;400000;соединительный, тип SC-SC, одномодовое/многомодовое волокно;жалғастырғыш, типі SC-SC, бір модалы/көп модалы талшық;сетевой кабель UTP;жалғастырғыш баусым UTP;711110000;г.Нур-Султан, район Алматы ул. Шалкоде, 5;Нұр-Сұлтан қ., Алматы ауданы ул. Шалкоде, 5
