№;id объявления;id лота;id пункта плана;Вид предмета закупок;Код товара, работы, услуги (в соответствии с КТРУ);Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Краткая техническая характеристика;Количество, объём;Цена за единицу, тенге;Сумма, утвержденная  для закупки, тенге;Цена (без НДС) по договору, тенге;Сумма  (без НДС), договору тенге;Сумма (без НДС), оплачен поставщику тенге;Начало приема заявок;Окончание приема заявок;Планируемый срок осуществления поставки;Способ закупки;Статус лота;Сумма по договору факт;Экономия;Сумма оплаты поставщику
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1;5391914-1;39745247-ЗЦП1;;Товар;262016.300.000003;Термопринтер;принтер этикеток (термопринтер);для печати этикеток;47;34900;1640300;;;;2021-02-02 16:10:00;2021-02-09 16:10:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
2;5391914-1;39744851-ЗЦП1;;Товар;262016.900.000002;Сканер штрих-кода;Сканер штрих-кода;ручной, лазерный;47;17300;813100;;;;2021-02-02 16:10:00;2021-02-09 16:10:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
3;5391914-1;39745578-ЗЦП1;;Товар;262012.000.000002;Терминал;Терминал для сбора данных (для инвентаризации);мобильный, настольный, для сбора данных;10;184900;1849000;;;;2021-02-02 16:10:00;2021-02-09 16:10:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
4;5309987-1;13308079-ОЛ-ЗЦП1;39545107;Товар;265132.500.000000;Линейка;Пластмассовая, измерительная линейка;измерительная;17;128.57;2185.69;;;;2021-01-12 16:16:00;2021-01-19 16:16:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
5;5309987-1;13308079-ОЛ-ЗЦП1;39549211;Товар;172312.300.000001;Конверт;Конверт С5, бумажный, белый;бумажный;50;16.07;803.5;;;;2021-01-12 16:16:00;2021-01-19 16:16:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
6;5309987-1;13308079-ОЛ-ЗЦП1;39549473;Товар;172312.300.000001;Конверт;Конверт, бумажный, А4 кравт;бумажный;70;43.75;3062.5;;;;2021-01-12 16:16:00;2021-01-19 16:16:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
7;5309987-1;13308079-ОЛ-ЗЦП1;39549040;Товар;172312.300.000001;Конверт;Конверт С4, бумажный, белый;бумажный;100;41.07;4107;;;;2021-01-12 16:16:00;2021-01-19 16:16:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
8;5309987-1;13308079-ОЛ-ЗЦП1;39520543;Товар;172313.500.000001;Скоросшиватель;Скорошиватель (бумажные);формат А4;300;69.64;20892;;;;2021-01-12 16:16:00;2021-01-19 16:16:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
9;5309987-1;13308079-ОЛ-ЗЦП1;39552152;Товар;172313.500.000001;Скоросшиватель;Скоросшиватель, пластиковый;формат А4;10;130.36;1303.6;;;;2021-01-12 16:16:00;2021-01-19 16:16:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
10;5309987-1;13308079-ОЛ-ЗЦП1;39549569;Товар;172312.300.000001;Конверт;Конверт, бумажный, А5 кравт;бумажный;45;15.18;683.1;;;;2021-01-12 16:16:00;2021-01-19 16:16:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
